,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,workout_type,id,external_id,upload_id,start_date,start_date_local,timezone,utc_offset,start_latlng,end_latlng,location_city,location_state,location_country,start_latitude,start_longitude,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,from_accepted_tag,upload_id_str,average_speed,max_speed,average_cadence,average_watts,weighted_average_watts,kilojoules,device_watts,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,max_watts,pr_count,total_photo_count,has_kudoed,suffer_score,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,average_temp,elev_high,elev_low
0,2,El Cajon,34229.2,4500,4500,0.0,Ride,12.0,6106622067,trainerroad-1f5bad7c-1643-48c9-bdb6-031533b86826.tcx,6489560297,2021-10-13T10:44:34Z,2021-10-13T04:44:34Z,(GMT-07:00) America/Denver,-21600.0,[],[],,,United States,,,0,8,0,1,0,True,False,False,False,everyone,False,b5607776,False,6489560297,7.606,10.6,90.0,219.6,230.0,988.3,True,True,168.7,182.0,False,True,337.0,0,1,False,244.0,5724645,1,a6106622067,,2,,,
1,2,More leaves!,182712.0,27995,30148,3257.0,Ride,10.0,6088673215,garmin_push_7630427584,6470476852,2021-10-09T09:49:39Z,2021-10-09T03:49:39Z,(GMT-07:00) America/Denver,-21600.0,"[39.726927, -104.970618]","[39.727192, -104.970599]",,,United States,39.726927,-104.970599,71,16,2,1,0,False,False,False,False,everyone,False,b8481130,False,6470476852,6.527,20.6,74.9,178.4,199.0,4993.1,True,True,149.7,169.0,False,True,1018.0,15,21,False,736.0,5724645,1,a6088673215,{fnqFnou_ScJz@[~hBihAnw@_n@jNic@bo@uG}EePbVUrz@w[`t@iiBIy@l\whJk@gYro@otAtdAgDlOirA`Y{lAr{@DnLuOsAu`DfkBu]pb@}i@h|Aon@|`ALpJ}PhWxA`OiPnLsPte@mGTif@laA{OEuD`i@m[dg@kSbLcfBptGwj@nzAdEo@qT||@aKfJAnjBwZjh@ymA|p@_]|z@is@h]bCtp@nFKcAvW|GvTaCtc@zHfLtBj`@wY~R|@rQzNzJmLzWAza@bEhGnH{LeK~KoE_P{w@j`@kBzc@c`@zh@mM_NpLxAkJyKK_QyP{L{ERe@bL}QgNnRuL{CsF|Le]iPpTkZbMuLaD{Xxd@`Bdj@qEnMyLtBiKhm@sHrr@kc@pc@eDfQpCtSyVnSmFeKkH~PzA`JkJvAcGv]mNHnFlJz@z^rWll@dC~a@pPzU~Bf]rZpf@Cn{@mH~e@tX|u@tJdpAfd@~|@{Zxi@dJ`n@e@pZtv@b_B}Ljt@hMbc@iXrFpMb`@rV`VrW_TbPdA|Sqb@xo@gMvSm[t_@iKhM}Xve@aZxHv@jS`TxOw^nf@g`@vE|F}BlZfIBvVuRpShZzD``@x`@n[fv@mEtQjn@lFab@lRXxSdl@vBy\hJsMqOkCfb@kb@gGyb@bKmd@q@uk@yQ__AnHuUeJoy@l@u^fPyl@fMbC|r@sx@|a@tiA~OnIjd@rEhh@yl@nv@V`o@bl@lJlX`x@bX`o@t~@pSi@jCoFuKkAgCqM~RCtSqa@gEkf@|a@i{@lC{Pze@sDjQxEjAdJtXK|CeOjOyE~S`H`PuP`W{@pR{MpLye@bQ{BpJyMhWc|AUaa@t_@xAnXo\uDhm@`Qnj@td@|t@jMn_@tBrTj[|BjEiXrd@_j@zBgv@{F}N|Fic@dSiHr\gX`HgXzSmI`Nu_@fB_k@rQeOrCouBaLuS}QifAmFpf@aQgx@eIiF~Xq[JwYaJwEfJg`@jH_DuC_^uIcB`Tuo@kBgvBjJ}d@kCiIhQaIhDwWjV{F|MgVxP{BnJ}M}OypAbCkOuG}W_UgShJ{IiFoTtIcNePgJYaZbVav@jKy@zq@_w@yr@q|B_@i`AaRo}AVsHndA{E}H{yMjBuiKtUYVolCrPkVrFlFzc@uo@pm@qMfb@qZd@u_Cnp@uF,2,12.0,2811.4,1589.6
2,2,Afternoon Ride,3309.9,1016,1347,20.5,Ride,10.0,6059600354,garmin_push_7598240745,6439878850,2021-10-03T19:17:32Z,2021-10-03T13:17:32Z,(GMT-07:00) America/Denver,-21600.0,"[39.726039, -104.969997]","[39.725954, -104.97013]",,,United States,39.726039,-104.97013,0,0,0,1,0,False,False,False,True,only_me,False,b7799528,False,6439878850,3.258,5.3,,31.0,,31.5,False,True,127.8,142.0,False,True,,0,0,False,8.0,5724645,1,a6059600354,ofnqFvwt_SAeDEcBBoGLaBR{@B{AA}BF_A@BA@EyC@oLCmI?yT@oABFAFCe@BoECcBBqA@BBAK?F?@CEBF?CCAw@YeBC?OdCCrF@bJC`DBdHAH@^@nCAnCDtCAh@BlCCnABnEEvKDjECdB@|I,2,,1634.4,1612.2
3,2,Early Morning Leaf Peeping,128968.0,20190,21979,2194.0,Ride,10.0,6058721904,garmin_push_7597290060,6438947650,2021-10-03T10:15:50Z,2021-10-03T04:15:50Z,(GMT-07:00) America/Denver,-21600.0,"[39.726624, -104.97061]","[39.727267, -104.9709]",,,United States,39.726624,-104.9709,28,17,0,1,0,False,False,False,False,everyone,False,b8481130,False,6438947650,6.388,20.7,73.2,172.2,187.0,3477.2,True,True,138.6,155.0,False,True,571.0,7,13,False,340.0,5724645,1,a6058721904,{fnqFvou_SaJr@SlhBohAxw@ya@fH}JfEa^bg@wCr@r@xBkAvAaFuFaAj@_PtUIty@mUho@?ppKqB|[zBnN`@h~If@tfAhCvRc@vR}|AlAtM`t@xIrYhMbeAdLfk@rDzHpAvLhJhQjPlf@lE|RaDhJ{EI{UlRp@`FoPlPuKrAoDbTkD`A{DdPaBdA_DxQdBdVzBxAfFeAhDxGwIpNDtGhFrJ}GzBwAfFfHjKbLnGdC~QpC|DqBdEUfIrC`BEfKhB|WnElRhAjT_J|M_IlDoGi@uAhKuJlIoG`CoDu@{HbEcCxISbLmHm@aHnKhC`IaHbWuAba@bA`Hp@lyAyHhL_@|HeIlXdBhCrCyB|A`AnC`^kBhD{DWiB`UwFpIVjB`FPxAnCv@dIyAbELnImQ`XyEjAfI|FlAfOvCjEvIra@lDif@`AApGpSlI|q@vKbSl@pa@sBbRPj^yBxc@_QrKoBrSHlWcNf_@_HxFwJjAlArFcJjPyZzJ}@dLcSrHy@pR_EzNzFzMq@fs@cEfIsFzC{BjL{LzNcGtBuFhOR`HqRk@mJsD}EwLdEeDgGoJwDgS}JqRsZwe@iPmi@xBgP`BgWoBgCeKbLgC~IgE`FoPyDwPbEe@pEtCzVyDl]yEfOuCbXuFbVaJhL}H}BeGhGsHt_@yI~LkL~EgUf@kDlI}KlFmEBiF}EuFcA_OtFnAxEkGxGuL?kEqDeClD_A{IyDbBj@aC}BmBuK_Bwc@nD{ByG_UoMkCcFoAz@bCcGHsUrMoSdGeUsAkP|@qKfGwEpLkb@yCgGv@qPrCcK`@aN~FkLe@}EaEq@lBmFO_KxE}NEiKkRx@_MeBkOgIoOeR}BkVsCoCxGqVeBeNHePwJcGeEXwEwGeCnEgPXqJnO|Dcl@|Qo]jD{UgKaPqFsDgFqNk[sQkOuTgHmFwP}`@qOwVjJsG|IuN|GzBbPub@tGsBbJkQdX_V~D_MdRoHrRwXUsf@aCcEqHgCaPkZwEwCA_NrIaMbAcZhOaXdAmYbF}Lq@cd@fEy_@``A}vCxEw{@nz@wo@dJa@v}@`NpEwMh@wMwIeU_Kwy@Jor@fGky@yBq_@Wic@zDyK`BeNfI?rEwHrHsE|KrOtdAFtAnr@fHrJvF`TnGxBpr@KhJoEf@cW|`AWvWs`@tYoCxKpApGtFfQL\wq@rCed@v|CDn@wUmC{UUkyC~e@kAGec@hEqIk@ywMbJaAAsnAjFeSxBm@LmZGebCi@{G_Qqg@`AmB}@kBjEsB|`@qh@nd@oHvg@e]f@u_C|n@Mf@cF,2,9.0,2823.8,1580.8
4,2,Family ride,4655.1,1248,1308,24.8,Ride,10.0,6054450635,garmin_push_7592620600,6434456127,2021-10-02T21:09:46Z,2021-10-02T15:09:46Z,(GMT-07:00) America/Denver,-21600.0,"[39.725986, -104.970097]","[39.725974, -104.970186]",,,United States,39.725986,-104.970186,6,17,0,1,0,False,False,False,False,everyone,False,b7799528,False,6434456127,3.73,6.4,,30.6,,38.1,False,True,153.9,170.0,False,True,,0,3,False,39.0,5724645,1,a6054450635,ifnqF|wt_SAeABu@EwMf@eCE_MBuDCgQCuEFoFEeX@cHG}GBoLDsKAsCE_@WEO`BBpCA~C@rCCl@@E@D@nCCzT@lFAtCDbEEnH@zNBvBCfFBvBCjCA|HDpCCbABtKChH,2,,1637.9,1612.3
5,2,Morning Ride,189226.0,28804,31249,2887.0,Ride,10.0,6054089487,garmin_push_7592240801,6434069444,2021-10-02T10:47:12Z,2021-10-02T04:47:12Z,(GMT-07:00) America/Denver,-21600.0,"[39.726468, -104.970601]","[39.72604, -104.970483]",,,United States,39.726468,-104.970483,43,17,0,1,0,False,False,False,False,everyone,False,b8481130,False,6434069444,6.569,19.3,74.1,188.5,204.0,5430.9,True,True,150.8,169.0,False,True,755.0,12,12,False,787.0,5724645,1,a6054089487,sfnqFfpu_S~~KnBhBz\j}GzAdVeEuUpCZsHfHYjAoQrRmFlFhYtExJrd@JvWiVr~@pA~a@aShg@hJbZ{N`[v@lCbdBxNcEnHdZhLgDvTxmBv_@WtXsPjeAroAlHfXrAuJhZcXvJaD|UtG_C``@bEiQdD`g@jElAldA_s@jMhWvAr^fzA]vLeQfdA{f@d|@_NvMqn@qW}w@Asu@l_AsTd{@{u@pn@iQ~_@ek@fFk]db@|QrqAuaAznDsg@v_ApMhyCb{Arl@rIMd_A~Kj[c@prAeDt{@iRxeAfS`lA}AxMze@ze@vMxc@hZdIfGxNf[lFAjKpOpC`g@zk@r]dP}F~\~Jl^|LxOrO\nBhWpHpIc@bYrS|O{AhKujAaK_Q|Lan@cQib@zQoQsa@w[wRgw@jd@gGaZql@_HwKmN_QjIk\vo@sq@~t@sOqLoHf]bGh]vc@vLcOn]L~Nhx@b\rmA~Ino@lQhLg@zLyP~FdNnq@hU}@fSnZiNxK|MdQiDxLvBhCvK`RaKuHva@zb@lA~dBzj@jKf^qDno@gGrZ}I|Iq\dkB}Mr\bClKyEzd@iGvHn@rRgUjQ{Na`@g[aX}r@yUwN|M_G{\uGqEgVdc@yD}SsS}KmFmP_{@yOiWs\sR{@mQcXyQsEkg@dOk_@yH}Vb]eSqP}KrTaKf@{WoSsPgd@iRlTk]i@}r@lUiLz[jCzYcL~@wAtHdDbUsf@d@xC|Ja\tGbHnJyGlQwHeHxA|RoJpFiNyO}BxHgK}@eBfJ~E{C|KrOg\k@qa@fWnMjBkEtJmInAyVuDwFvJov@lPqJbXwDiG}C`d@sKLgB|MqLdDTpLkJu@zFfJwLnKDd\udAhoBitAtiAy`@dr@we@xn@sNuVoBvQoX|Fy@|K{BuO|HaX_JqEsAcT|CyStNmR?qfAtKcMhTm}Bv_@uiBySgi@kF{t@}PaFsH_Xem@yGh]}KyIyGct@jKoi@eL}aB~JkEmF_Nuc@l@oq@oTcMdDqn@gQkJm[a`BuB{WbLim@yRys@}Nq\vGyz@_IoiAlFo^xScU|FuWwZmRsHoQhBeReh@ot@pGy}@_Owv@kQeOZwU_Ed@e@kNiz@oAuIcWe[{d@wLoIeRzI{VuXwWxKmSiY{}@kFwWrN{u@ir@uZxJgQmTuQsEeRnV{x@cYq\uEqMgb@{^aKgY}Yk@ikEujEWqhAz@{MjSuo@hEu[KkBaOkYC,2,10.0,2552.8,1603.8
6,2,White -1,33910.9,3600,3600,0.0,Ride,12.0,6037296440,trainerroad-79b60a1b-b9fc-46ad-9749-8438a563d3c6.tcx,6416453934,2021-09-29T10:49:11Z,2021-09-29T04:49:11Z,(GMT-07:00) America/Denver,-21600.0,[],[],,,United States,,,0,8,0,1,0,True,False,False,False,everyone,False,b5607776,False,6416453934,9.42,10.0,91.3,226.3,232.0,814.6,True,True,170.2,182.0,False,True,343.0,0,1,False,211.0,5724645,1,a6037296440,,2,,,
7,2,Morning Ride,95038.9,12537,14212,1254.0,Ride,10.0,6027530951,garmin_push_7562936516,6406240878,2021-09-27T10:12:03Z,2021-09-27T04:12:03Z,(GMT-07:00) America/Denver,-21600.0,"[39.726318, -104.970627]","[39.727133, -104.952354]",,,United States,39.726318,-104.952354,19,14,0,1,0,False,False,False,False,everyone,False,b8481130,False,6406240878,7.581,19.1,76.1,204.0,221.0,2557.0,True,True,151.2,169.0,False,True,814.0,13,2,False,350.0,5724645,1,a6027530951,wfnqFxou_SeJf@WbiBwJjFcDnDsw@rj@uNvFaRd@cHrCiDnCkZtb@gEtBv@dBiA`CtBbDTxDlL`]h@pHJn{CwCvCuErQBxgCaEp@OjEoCFKp@\zzG]fa@b@fwA}DnIBpc@{f@tAh@tpCPrLdCbRaBnh@}AtO_DzGuBfAaFWyEfC_D|E_BnGFtJlDt^hKjm@dDxu@nC`LbVjRfNdThDcAnAdDyBpCA`A|S~d@~FeExCfFbUuTpGbPfPvYvNqD{AbHb@zG_CdBgBhFgGzFCtGyGw@}@vAJhG_Gw@aD`D}BViAdFyGnAsAjEVhDbBbC|@tFgAfNf@IjBoM`@d@OjIb@Oz@sG?mDgB}Df@yDvIaApE_CbLjEzC}CnEfCfDfMbCjCzCStB|AtFhKbABlEsDdNVAx@cC^`C\Bj@iL`AhL~AfEyDt@_GhBwCkFcEi@cF`@oCcGmCBiCdFoH~DGbAdBYlHbA|FrExCtFZhHtIn@fBZ~InAtCfE`EhGZlHlGbHaClARhExM~KpCdHzH~FtQzFxKLnJnG|O]lN}F`TFbUeHxTm@dFmFnDmCxKeDjJ?`CfEnOXj]UzEiCrEmBlJhA`CzGt@jc@Z}BxXyElZwBrLuDjH@nE}@dDoA|SdDnNjLjQvDeH`@uOjAaDR{GxI{VdGuHnQeGnFqEfI?|A{JJaH|D}En@_CkB{KrAcHjAcApCrBrHJvDoPcBwPqAHtAdB@bFmFxKyB_@uCwHcIsBiJAi@~DcDpO|@lArEmB{@iEo@]YzA\JL{BpAfGqFtASqB|CwMh@gEbJDrIpBvC`IxA\`Ai@xDoI^mC}@{EkDEyCkBeCKoCdC_FwB}CDyHgKjEdFyBiDoBu@u@pBg@lIeF|PwIxRiDjBiFzMiALAqKh@wDoIgExEcYdBacAsC_`@aCmJoEcKs@kGn@cH|C{FtVcIvCoDh@{FsBuSlCoNnAmR~W}nA|KcMzBaGd@{Hg@eMj@aL?wWzLun@Zu^fC}SGeEsAiDcMcMiPeB{A}Cd@qGmFcBup@bEcUhMuJ|BaECiYxMeO_AiXZmKwBuEaDaAyBSwDzAmIoHaGo@sBUwz@e\Fi@o@nVc_Bq@}bAcDeD{YLuDqAkB}UkEqP{JsQkUsXg@mRyk@}_@CsJaEi@Mab@fDmFd@iDe@stAGegK`@u@`IO@ehAxEqPtCgCKg}Ck@iGiJsXuAsHqBgDdAuB_AuAtEyCtZec@xCyBfGyBhRq@hOsFphAev@zGkIlIgPfQuRnUmc@bH}_@A__@gVL_CyCc]CI`\FaZf@aDGepA,2,13.0,2480.6,1589.8
8,2,Night Ride,149803.0,23027,24690,2514.0,Ride,10.0,6017693402,garmin_push_7552210373,6395870194,2021-09-25T09:16:48Z,2021-09-25T03:16:48Z,(GMT-07:00) America/Denver,-21600.0,"[39.726222, -104.970611]","[39.727297, -104.970975]",,,United States,39.726222,-104.970975,55,16,0,1,0,False,False,False,False,everyone,False,b8481130,False,6395870194,6.506,22.7,65.2,180.9,204.0,4166.7,True,True,147.4,171.0,False,True,896.0,13,4,False,548.0,5724645,1,a6017693402,wfnqFrou_S_p@v@[`fCgh@f]me@jIue@zj@IfEuFwFeEfFeK`PM~y@sRti@eHvIwiBEk@p\qhJu@uYvo@{NnD{[fa@wg@|\cDhOof@vD{v@zZac@rYcMvQoNtF@jLuOmAat@fb@{LhNqRnDqjAls@m]pb@iCnSkJvMi[|z@im@r~@B~JoH|EgG`PrAdOoPzL_Pbe@sGRof@raA{OBHvLwGpTzAnEm[~f@kFw@wKrMs@vOmcB|`Gal@r}AhEM_Rxg@qAzRcKpJ?fjBuZlh@siApr@qCs@}DdRaW`i@gs@t\bEr^y@lVbMpn@_Ch\`IdMa@jQnCjMsBtFaKQeAlI{GlAfAtQpNvJoLfXtC`HmCpPrAbMhCn@|FwLfHlK`Iy@bE}AwA}DvG_CnAsHdEfD{CcU|BfGlIn@xQ{a@eBgHfI_I}HvBPwCfSwGg@`CxElA}F`ObJuLp@uVxGvM`CeFxGU|GtZjE|EaCvBtF`TrX`@fGfKdBr@jCMjTjl@zBjSb[`Tta@dHlB~I|PuH``@jFd`@uKrK`FmCbVaFxM}GxAyH|YKpSjFcBhExIb@l`@y@zQ{PhYFnc@{DpHqQ|CkUyAtErHvVbGaCpfA_EhLQhPuGtMtEjNfPaGvGtn@wIv\uHnFsT|b@mChW_Zvc@}BxQvPrWpMdIbGvVrSfF`PsIgBnYjO|DlM`U|YnIhDbQtK_@tT{]zGcBrWeVbKzT~A`QpLxR~A`NdQtI~OwBzQ~Hn]af@vJaFbu@ZvNbJj`@pa@dJjXve@vKdQfKbd@tu@xJtGhU}@f@iFwKgA_C_M~Sc@dS}`@iD{E]y_@zGsZdXs^pC_Qbe@gEnLrCZbEdDeBnAhJbCsDvUfC`E}GwAwEhOcFjTfHzK}FtCkIhc@mGtIwLpHo_@fGoGzHhC`IqJ`Yq_BeBo^hPkDdRnCns@ukA`Ii^tM_XxA__@`Ug_@lCqXra@iz@bg@g~@dYq[nJeW~HiDdPmTfAi]aJ}FxFoIfBkUlHwCwC__@sI}@lJ{b@vHeLwBcbB|Agb@xGwVsCcHbG}JjI\lCmVhV}FzKoJpAiKvQiC`JkNgKmmAwCwBrCkOgHiWcUmSfAuEnHeCmF}StIeNaD_H}Ji@kAiUpLce@~Cc@zD{TbKk@xl@kk@dDqJ_c@ioAgMaj@_SwzA{WgmAh|AaDkBqh@gAecL}BoNtBse@OwcJxUm@XmlCxPeVbFnFXqEva@ah@bn@sNzb@uZt@u_Cbo@O^kF,2,10.0,2750.6,1584.2
9,2,Morning Ride,78699.4,9873,10469,893.0,Ride,10.0,6006585433,garmin_push_7540082301,6384211925,2021-09-23T11:13:44Z,2021-09-23T05:13:44Z,(GMT-07:00) America/Denver,-21600.0,"[39.726368, -104.970649]","[39.726874, -104.970602]",,,United States,39.726368,-104.970602,1,13,2,1,0,False,False,False,False,everyone,False,b4544175,False,6384211925,7.971,20.5,75.1,190.4,205.0,1880.0,True,True,148.0,174.0,False,True,610.0,0,2,False,243.0,5724645,1,a6006585433,{fnqFtou_SBdFPPxq@ETL@n@yBzMeA|C{Rt^_DtE{NdOoG~McFtGehAtt@aAtAgNnFaSv@sGbCcDdCc[bc@}DnB~@nBkAtB|BlDPjDvLl]d@jHDb{CSlAgAHeAjB}@xEoC~JHvfCc@h@uCDWtEkCJQn@ZpwGCt^UjE\tHDvlA_@vBaCrCc@jBFvb@gd@^qA`A\bbAHlb@Fzt@pCnT{Anh@_BfOuB~E}BdCeF[cGzCcEtHu@jEB|DfAbT|AvLvK~n@fDhv@rAxHjC`ExQfOvObThDgAxAhDwBnCCdAlPh^~Ao@`ZsXd@A|MrZX~AnHfNnFvIkEdE}Cx@\hI`Ax@`G@zAb@lCi@nAiAiAdDqGnGU`A`@hDQf@_EkAqAHcAxAPhGkDcAoAHiDjDwBHqAnF_ENqAv@{AjETfDbBpCr@pE{@`OXHZu@zA{KZKHl@WzHj@Cv@_GBaEiBgEBuB`@y@vB@pBcArBCdCkBhAQ|Ch@nBhBvCt@hBaCt@SnEdCrBtJp@tAdCbCzCShBrA|FvKjACbEiDbNTTRQ\cC\|Bd@In@cGE_CTWj@Z`@pCEfClA|BMdEeEr@{FbBaCs@mA}DgCe@yE`@wCaGgCBqCnFkHhEHl@fB_@zI}HyAiBNpJz@dAp@z@zCjApA`DrAxF^bHjJz@nMnFtG|Gd@fG~FbA^nAOdE{Bv@F|@dAtAjHfAxBpBfAnHdAfIrJnEtOdGfLRtJdGjO[bO{B|FO~AzAbMy@dGl@nJt@nA|AR`Bm@~CiDkCcHo@yERoGvAyE`BwBnCaBhR}EvAoA~@yBXaFiB_NGeDhCyNjAcR`DuLfSuaAdB}CnH}GhCcH^sGi@{Mh@gKB_Y|Len@XwGAcVbCaSE{EgBwD_MyLcCk@}GJeBs@oA_B[yAt@eEI}@aBaA{C]{MPwa@tDmUnMoHlBkFE_A`AwEhAeNlH{Ah@gOcAiYVcJoBcEkCoAmCW{CNaDpAgEsHaGo@oB]}z@u[Fs@m@pLcv@n@gBhG}c@Imt@g@eOkCeCkZHqDqAwB{VeEwOcImOeLiO{IkJ_@iBEyLWwAod@u[qE{BMuJiDOQe@Mua@d@gBnCwCTyCKwmAY}FT}F[soJTu@lIAAqvAzEaQr@yAtAOLkCGayCm@oHcJyW_B_I_CcDhA_Cy@cBrEaC`[wc@lDaCxFwBpRi@bNiF~@sAffA_s@|G}HpIoP`NgNxCqE~Ry^vBsG~Em[?_^kVF{@sBy@c@m\?a@z@AvQ,2,12.0,2259.6,1583.2
