Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Pounds,Steps,Note
2018-02-28,Fitbit calorie adjustment,Cardio,-506.0,1,,,,,
2018-03-01,Fitbit calorie adjustment,Cardio,-148.0,1,,,,,
2018-03-02,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,973.0,71,,,,,
2018-03-02,Fitbit calorie adjustment,Cardio,-597.0,1,,,,,
2018-03-03,"Aerobics, general",Cardio,800.0,79,,,,,
2018-03-03,"Bicycling, >20 mph, racing (cycling, biking, bike riding)",Cardio,1425.0,90,,,,,
2018-03-03,Fitbit calorie adjustment,Cardio,-694.0,1,,,,,
2018-03-04,"Bicycling, >20 mph, racing (cycling, biking, bike riding)",Cardio,1237.0,85,,,,,
2018-03-04,Fitbit calorie adjustment,Cardio,-351.0,1,,,,,
2018-03-05,"Aerobics, general",Cardio,875.0,77,,,,,
2018-03-05,Fitbit calorie adjustment,Cardio,-740.0,1,,,,,
2018-03-06,Fitbit calorie adjustment,Cardio,164.0,1,,,,,
2018-03-07,Fitbit calorie adjustment,Cardio,-192.0,1,,,,,
2018-03-07,"Running (jogging), in place",Cardio,697.0,72,,,,,
2018-03-08,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,139.0,20,,,,,
2018-03-08,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,1099.0,72,,,,,
2018-03-08,Fitbit calorie adjustment,Cardio,-224.0,1,,,,,
2018-03-09,Fitbit calorie adjustment,Cardio,-7.0,1,,,,,
2018-03-09,"Running (jogging), 5.2 mph (11.5 min mile)",Cardio,693.0,52,,,,,
2018-03-10,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,1993.0,151,,,,,
2018-03-10,Fitbit calorie adjustment,Cardio,-465.0,1,,,,,
2018-03-11,Fitbit calorie adjustment,Cardio,-465.0,1,,,,,
2018-03-12,Fitbit calorie adjustment,Cardio,-56.0,1,,,,,
2018-03-12,"Running (jogging), 8.6 mph (7 min mile)",Cardio,570.0,37,,,,,
2018-03-13,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,2007.0,151,,,,,
2018-03-13,Fitbit calorie adjustment,Cardio,-640.0,1,,,,,
2018-03-14,Fitbit calorie adjustment,Cardio,-151.0,1,,,,,
2018-03-14,"Running (jogging), 5 mph (12 min mile)",Cardio,678.0,56,,,,,
2018-03-15,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,2452.0,155,,,,,
2018-03-15,Fitbit calorie adjustment,Cardio,-771.0,1,,,,,
2018-03-16,Fitbit calorie adjustment,Cardio,-428.0,1,,,,,
2018-03-16,"Running (jogging), 7.5 mph (8 min mile)",Cardio,400.0,31,,,,,
2018-03-17,Fitbit calorie adjustment,Cardio,-197.0,1,,,,,
2018-03-18,Fitbit calorie adjustment,Cardio,-786.0,1,,,,,
2018-03-18,"Running (jogging), 8.6 mph (7 min mile)",Cardio,1935.0,96,,,,,
2018-03-19,Fitbit calorie adjustment,Cardio,-275.0,1,,,,,
2018-03-20,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,845.0,60,,,,,
2018-03-20,Fitbit calorie adjustment,Cardio,-414.0,1,,,,,
2018-03-21,"Bicycling, >20 mph, racing (cycling, biking, bike riding)",Cardio,1104.0,75,,,,,
2018-03-21,Fitbit calorie adjustment,Cardio,-523.0,1,,,,,
2018-03-22,"Bicycling, >20 mph, racing (cycling, biking, bike riding)",Cardio,1085.0,75,,,,,
2018-03-22,Fitbit calorie adjustment,Cardio,-357.0,1,,,,,
2018-03-23,"Aerobics, general",Cardio,464.0,60,,,,,
2018-03-23,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,711.0,46,,,,,
2018-03-23,Fitbit calorie adjustment,Cardio,-436.0,1,,,,,
2018-03-24,Fitbit calorie adjustment,Cardio,-556.0,1,,,,,
2018-03-24,"Running (jogging), 8 mph (7.5 min mile)",Cardio,880.0,57,,,,,
2018-03-25,"Bicycling, >20 mph, racing (cycling, biking, bike riding)",Cardio,1715.0,120,,,,,
2018-03-25,Fitbit calorie adjustment,Cardio,-369.0,1,,,,,
2018-03-26,"Bicycling, >20 mph, racing (cycling, biking, bike riding)",Cardio,1057.0,63,,,,,
2018-03-26,Fitbit calorie adjustment,Cardio,-365.0,1,,,,,
2018-03-27,"Bicycling, >20 mph, racing (cycling, biking, bike riding)",Cardio,1085.0,75,,,,,
2018-03-27,Fitbit calorie adjustment,Cardio,-252.0,1,,,,,
2018-03-28,"Bicycling, >20 mph, racing (cycling, biking, bike riding)",Cardio,484.0,31,,,,,
2018-03-28,Fitbit calorie adjustment,Cardio,-470.0,1,,,,,
2018-03-28,"Running (jogging), 8 mph (7.5 min mile)",Cardio,500.0,36,,,,,
2018-03-29,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,1333.0,90,,,,,
2018-03-29,Fitbit calorie adjustment,Cardio,-172.0,1,,,,,
2018-03-30,Fitbit calorie adjustment,Cardio,122.0,1,,,,,
2018-03-31,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,1407.0,90,,,,,
2018-03-31,Fitbit calorie adjustment,Cardio,-537.0,1,,,,,
2018-04-01,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,1700.0,108,,,,,
2018-04-02,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,367.0,26,,,,,
2018-04-02,Fitbit calorie adjustment,Cardio,-245.0,1,,,,,
2018-04-02,"Running (jogging), 8.6 mph (7 min mile)",Cardio,525.0,37,,,,,
2018-04-03,"Bicycling, >20 mph, racing (cycling, biking, bike riding)",Cardio,926.0,66,,,,,
2018-04-03,Fitbit calorie adjustment,Cardio,-264.0,1,,,,,
2018-04-04,Fitbit calorie adjustment,Cardio,-315.0,1,,,,,
2018-04-05,"Bicycling, >20 mph, racing (cycling, biking, bike riding)",Cardio,1334.0,90,,,,,
2018-04-05,Fitbit calorie adjustment,Cardio,-231.0,1,,,,,
2018-04-06,Fitbit calorie adjustment,Cardio,-127.0,1,,,,,
2018-04-06,"Running (jogging), 8.6 mph (7 min mile)",Cardio,650.0,41,,,,,
2018-04-07,Fitbit calorie adjustment,Cardio,-655.0,1,,,,,
2018-04-07,"Running (jogging), 7.5 mph (8 min mile)",Cardio,700.0,50,,,,,
2018-04-08,Fitbit calorie adjustment,Cardio,-185.0,1,,,,,
2018-04-09,Fitbit calorie adjustment,Cardio,-190.0,1,,,,,
2018-04-10,"Bicycling, >20 mph, racing (cycling, biking, bike riding)",Cardio,1074.0,73,,,,,
2018-04-10,Fitbit calorie adjustment,Cardio,-414.0,1,,,,,
2018-04-10,"Running (jogging), 9 mph (6.5 min mile)",Cardio,550.0,34,,,,,
2018-04-11,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,208.0,18,,,,,
2018-04-11,Fitbit calorie adjustment,Cardio,-376.0,1,,,,,
2018-04-11,"Running (jogging), 8.6 mph (7 min mile)",Cardio,640.0,43,,,,,
2018-04-12,Fitbit calorie adjustment,Cardio,-273.0,1,,,,,
2018-04-12,"Running (jogging), 8 mph (7.5 min mile)",Cardio,560.0,38,,,,,
2018-04-13,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,1512.0,110,,,,,
