Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2012-09-05,Breakfast,414.8,12.0,3.4,2.5,4.5,0.0,24.0,772.1,305.7,49.1,5.4,14.5,30.9,16.4,2.3,29.3,59.4,
2012-09-05,Lunch,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2012-09-05,Dinner,782.3,14.3,2.1,1.2,4.1,0.0,114.0,972.7,266.7,90.0,5.1,40.7,55.4,20.0,20.0,6.7,20.0,
2012-09-05,Snacks,661.7,16.3,4.8,3.2,5.3,0.0,47.0,1036.9,201.3,74.5,9.3,18.5,61.5,20.1,3.5,46.6,87.1,
2012-09-06,Breakfast,470.8,12.0,3.4,2.5,4.5,0.0,24.0,772.1,305.7,63.8,8.1,25.2,30.9,17.7,11.6,30.0,60.1,
2012-09-06,Lunch,671.1,26.4,9.7,0.8,8.0,0.0,152.1,1792.7,2450.8,34.0,10.1,8.0,74.2,482.5,165.4,51.5,79.5,
2012-09-06,Dinner,549.8,37.2,12.9,5.4,11.7,0.0,865.9,775.4,320.5,18.6,4.0,4.5,37.1,32.8,0.0,25.9,26.2,
2012-09-06,Snacks,677.8,22.0,4.2,3.5,4.5,0.0,24.0,962.1,305.7,88.6,14.4,31.0,39.4,17.9,12.8,38.1,70.2,
2012-09-07,Breakfast,482.3,19.5,4.9,2.5,4.5,0.0,45.0,772.1,305.7,49.1,5.4,14.5,30.9,166.4,2.3,29.3,59.4,
2012-09-07,Lunch,628.0,20.8,6.7,1.5,10.2,0.0,72.0,2726.1,2091.9,47.2,15.2,8.0,66.6,490.5,178.0,49.5,48.3,
2012-09-07,Dinner,625.5,1.2,0.3,0.3,0.5,0.0,0.0,149.7,71.9,55.8,2.0,5.6,2.7,0.0,0.0,2.0,5.2,
2012-09-07,Snacks,1428.4,54.6,10.8,6.5,6.8,0.0,67.0,1720.2,286.3,164.2,29.3,44.5,91.8,24.1,3.5,79.3,120.4,
2012-09-08,Breakfast,626.7,39.3,1.3,1.0,3.3,0.0,215.0,655.0,70.0,61.0,14.7,1.3,9.0,0.0,30.0,0.0,11.3,
2012-09-08,Lunch,482.3,19.5,4.9,2.5,4.5,0.0,54.0,772.1,305.7,49.1,5.4,14.5,30.9,41.9,2.3,29.3,59.4,
2012-09-08,Dinner,813.2,28.7,8.7,3.7,7.4,0.0,257.3,976.4,598.9,72.6,9.7,28.1,70.1,25.9,9.8,47.9,68.4,
2012-09-08,Snacks,542.5,26.1,2.4,2.5,3.5,0.0,0.0,608.5,229.0,68.9,19.5,16.8,25.4,0.5,7.5,6.5,26.5,
2012-09-09,Breakfast,1024.2,33.4,5.9,5.2,5.3,0.0,47.0,1437.9,380.3,124.4,23.8,31.3,77.4,20.6,11.0,53.1,105.6,
2012-09-09,Lunch,414.8,12.0,3.4,2.5,4.5,0.0,24.0,772.1,305.7,49.1,5.4,14.5,30.9,16.4,2.3,29.3,59.4,
2012-09-09,Dinner,556.0,13.2,6.0,0.1,0.0,0.0,147.0,692.0,175.0,63.9,7.7,5.9,45.6,210.0,6.0,31.0,25.0,
2012-09-09,Snacks,670.9,34.8,17.4,3.2,5.2,0.0,429.6,1123.8,345.2,57.0,14.0,20.0,44.3,45.0,20.0,52.4,32.0,
