mass_A
t,x,y
0.000000000E0,-7.558309400E-3,0.000000000E0
1.666666667E-2,-1.007774587E-2,-5.038872933E-3
3.333333333E-2,-1.007774587E-2,-1.511661880E-2
5.000000000E-2,-1.007774587E-2,-1.763605527E-2
6.666666667E-2,-1.007774587E-2,-1.763605527E-2
8.333333333E-2,-1.007774587E-2,-1.763605527E-2
1.000000000E-1,-1.007774587E-2,-2.771380113E-2
1.166666667E-1,-1.007774587E-2,-2.771380113E-2
1.333333333E-1,-1.007774587E-2,-2.771380113E-2
1.500000000E-1,-7.558309400E-3,-5.038872933E-2
1.666666667E-1,-7.558309400E-3,-5.038872933E-2
1.833333333E-1,-7.558309400E-3,-5.038872933E-2
2.000000000E-1,-2.267492820E-2,-1.058163316E-1
2.166666667E-1,-2.015549173E-2,-1.536856245E-1
2.333333333E-1,-1.259718233E-2,-1.713216797E-1
2.500000000E-1,-5.038872933E-3,-2.191909726E-1
2.666666667E-1,-1.511661880E-2,-2.292687185E-1
2.833333333E-1,-2.015549173E-2,-3.023323760E-1
3.000000000E-1,-2.015549173E-2,-3.174489948E-1
3.166666667E-1,-1.763605527E-2,-3.955515253E-1
3.333333333E-1,-1.763605527E-2,-4.081487076E-1
3.500000000E-1,-1.511661880E-2,-5.038872933E-1
3.666666667E-1,-1.763605527E-2,-5.190039121E-1
3.833333333E-1,-1.763605527E-2,-6.248202437E-1
4.000000000E-1,-1.763605527E-2,-6.374174261E-1
4.166666667E-1,-1.511661880E-2,-7.583503765E-1
4.333333333E-1,-1.511661880E-2,-7.860641776E-1
4.500000000E-1,-2.519436467E-2,-9.170748739E-1
4.666666667E-1,-1.763605527E-2,-9.422692385E-1
4.833333333E-1,-2.771380113E-2,-1.073279935E0
5.000000000E-1,-2.519436467E-2,-1.100993736E0
5.166666667E-1,-2.267492820E-2,-1.274834852E0
5.333333333E-1,-2.015549173E-2,-1.297509780E0
