Timestamp,Which building do you primarily work in?,Which printer(s) do you use the most?,How often do you need to print in color?,What do you like about our printers?,How could we make your printing experience better?,Is there any other feedback that you would like to submit?
12/16/2024 11:06:03,High School,"HS Faculty Lounge, HS Library, MS Faculty Lounge",3,"I like the printer in HS Faculty Lounge, it is fast.",I hope the printer in HS Faculty Lounge has the color option,
12/16/2024 11:07:17,Lower School,"LS Faculty Lounge, LS Office (Jackie)",3,They generally take care of what I need for my students,Improve connectivity reliability and print product (often part of the images are cut off even though they show correctly on the print preview),"I understand that we don't want students to have unlimited access to print, but I am wondering if there is a way to streamline the process of students all having to share their docs with me and then me having to print them individually. Thanks!"
12/16/2024 11:07:31,High School,"HS Faculty Lounge, HS Office (Meghan)",3,I appreciate that it's easy to print double-sided.,I always worry that I am disturbing Meghan in the HS Office when I want to print in color--it would be nice if there were a color option somewhere less busy.,
12/16/2024 11:11:07,High School,"HS Faculty Lounge, HS Library",4,It works smoothly.,It would be better if the library printer could staple.,
12/16/2024 11:13:42,High School,HS Faculty Lounge,1,,,
12/16/2024 11:15:22,High School,"HS Library, LS Faculty Lounge, SH Mailroom",2,We can print from any location to any printer,Seems okay ,"IT Department, y'all are the best! Thanks for all you do for us!"
12/16/2024 11:19:02,Sanders House,"SH Mailroom, Health Hub although the cartridge has been out and not replaced since September",3,,I really need a working printer and scanner in the Health Hub for privacy and FERPA/HIPPA,
12/16/2024 11:19:59,High School,"HS Faculty Lounge, HS Library, HS Office (Meghan)",2,they also can scan and copy,regular toner monitoring and replacement so we're able to fix it (replace it) before it become a problem,Do we still need to limit the HS students' ability to print?
12/16/2024 11:21:09,Lower School,"LS Faculty Lounge, LS Office (Jackie), ",3,,,
12/16/2024 11:22:39,Middle School,"MS Faculty Lounge, MS Office (Sarah)",4,dependable,,please include staples (for the big black & white printer in the MS Kitchen) in our contract
12/16/2024 11:30:36,Sanders House,SH Advancement,4,They are easy to print to,"more options to bind, staple, etc. We do a decent amount of promotional printing (flyers, handouts, etc) but always feel like they could look a little more professional, even in house. Any upgrades to features for more polished printing would be greatly taken advantage of!",
12/16/2024 11:36:56,High School,HS Faculty Lounge,2,"fast, page(s) printed come out warm",If I had to stop fixing the printers,not really no
12/16/2024 11:39:05,High School,"HS Faculty Lounge, HS Office (Meghan)",4,,I wish we had a color printer in the HS faculty lounge,
12/16/2024 11:42:23,Middle School,"MS Faculty Lounge, MS Office (Sarah)",3,"So long as they are operative, I'm happy.",Making sure that they are operative - which I know you guys are always trying to do.,No - most of the time my experience has been positive.
12/16/2024 11:43:57,Middle School,MS Faculty Lounge,3,They are efficient; they can staple and punch holes quickly.,If there was a printer down by the 8th grade pod,
12/16/2024 11:44:02,High School,"HS Faculty Lounge, HS Library, HS Office (Meghan)",2,,,
12/16/2024 11:45:24,Sanders House,SH Advancement,4,They are reliable and high quality,"I'd love to move the Advancement Color printer to a more central location (maybe the first floor mailroom) since so many people use it and add a small, plain b/w printer in our office.",Thank you!
12/16/2024 11:55:34,Middle School,"MS Faculty Lounge, MS Office (Sarah)",4,Easy to use,"Can we PLEASE get a color printer for the downstairs level of the MS, it would still be teacher access only but often times we print things in color for our students for projects and they have to go upstairs to get it from Ms. Powell which is not good because she also prints student-sensitive documents and information on that printer. You are welcome to have it placed in one the ""closets"" off the Maker Space!!","In an effort to be more environmentally friendly, we should consider the printers that require a badge tap to print, that keep track of how much paper we use"
12/16/2024 11:56:17,High School,"HS Faculty Lounge, HS Library, HS Office (Meghan)",5,"Being able to print from my classroom and pick up later, grouping, staple and hole punch.","It works very nicely for me. However, I'd love if the faculty lounge printer had colors.",N/A
12/16/2024 11:57:02,Lower School,LS library,2,"It seems to do what it needs to most of the time. When I was an admin, I really appreciated how prompt they were with service and how easy it was to order new toner.","It's been fine for me, but I don't make a lot of copies these days. ",
12/16/2024 11:58:24,High School,HS Library,3,I am not only a user but I help make sure that the printer is stocked with paper and toner.  Ordering toner is really easy.,More adults (teachers) need to be trained on how to troubleshoot the printers.  Seems like the issues get left for the next user.   ,I like how we make the student printing process a multi step process.   They can't just print from their laptops.  It has really saved on paper usage.  
12/16/2024 12:03:12,Lower School,"LS Faculty Lounge, LS Office (Jackie)",3,quick and easy to use!,N/A,"I know that some people have had connectivity issues, but I never had! Love the printers! Thank you for all that you do!"
12/16/2024 12:05:03,Middle School,"MS Faculty Lounge, MS Office (Sarah)",4,I like the availability for high quantity printing and the access to color printing.,A color printer for the downstairs level of the MS- it could still be teacher access only but often times we print things in color for our students for projects and they have to go upstairs to get it from Ms. Powell which is not good because she also prints student-sensitive documents and information on that printer. ,Thank you for working so hard to make our lives easier! You are all my heroes!
12/16/2024 12:07:19,High School,HS Faculty Lounge,2,There are so many good features for hole punching and stapling.  I also really like the scanning feature.,I would love to be able to set any feature from my laptop instead of having to make a print and then set the features.  I would also love to be able to easily find my name in the printer for scanning so I don't have to enter it every time.,The printer has been having quite a bit of trouble and a quick lesson on how we can easily troubleshoot would be nice.  I do feel like I am trying to troubleshoot more often recently.
12/16/2024 12:07:35,Community Center,"Community Center (Duncan Commons), MS Faculty Lounge",1,"Efficiency, quantity of printers across campus (ie: if one's down, many other options)",Reliability of network and quantity of paper,
12/16/2024 12:20:12,Middle School,MS Faculty Lounge,2,easy to print and scan,maybe one on lower floor of MS?,
12/16/2024 12:21:00,Middle School,MS Faculty Lounge,4,I have trouble with connectivity on my personal printer in my class,A color printer downstarts would be great!,Thanks for all your help!
12/16/2024 12:35:26,Middle School,"MS Faculty Lounge, MS Office (Sarah)",2,"print quality is fine, the big printer in the MS work room (I only use it as a copier/scanner, not a printer, due to connectivity issues) is fast and has good features.","Printing to the MS workroom - I only get weird size prints, so I gave up. I print to Sarah P's desk, then copy on the big printer. Would like it if the color printer could double-side. Would like to be able to print from home.","Students (in middle school) are under the impression that they can't print. I'm not sure if this is true or not, but if they need to print (which admittedly isn't very often, at least for my class or interactions with them), they email docs to me and I print for them, which feels pretty inefficient. I agree that they probably don't need to print much, and maybe a teacher should have to ""approve"" print jobs or something to avoid waste, but going thru the teacher seems dumb."
12/16/2024 12:45:00,High School,"HS Faculty Lounge, HS Office (Meghan)",2,"They are fast. They can staple and 3-hole punch at the same time. They have the ability to easily ""send"" (scan) items and send directly to your email.",The HS Faculty Lounge has been getting many paper jams lately (like just in the last week or two).,Thank you!
12/16/2024 12:46:00,Lower School,"LS Faculty Lounge, LS Office (Jackie)",5,"I love the speed of the faculty room printer, and its capability to collate and staple books.  The color printer is another story.  See below.","The colored printer is SLOW, and the print quality is never great.  It also is a major pain if cardstock needs to be used, which for me, is often.  It jams, doesn't print clearly, and is an overall hassle.  I also wish we could print in color larger than 8x11.","Nope, that should do it.  Thanks!"
12/16/2024 12:50:30,Lower School,"LS Faculty Lounge, LS Office (Jackie)",4,The ability to print in color,I would love to be able to easily copy in color. It would be nice to have the copier like the one in Advancement.,I feel like the faculty lounge copier could be upgraded. It often gets jammed and the printing quality is poor. It often does not print clearly or straight.
